mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.31434186299641925,0.019632562974221314,0.02335985501607259,0.0008250633382158333,400,10,50,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 10, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.8025210084033614,0.8016877637130801,0.8143459915611815,0.8061849212258743,0.0057807655745494,5
0.3978312015533447,0.054296924863269716,0.03171976407368978,0.007989697113675526,400,2,20,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 2, 'max_depth': np.int64(20), 'criterion': 'gini'}",0.7605042016806722,0.7848101265822784,0.8143459915611815,0.7865534399413775,0.02201535737442141,17
0.4987012545267741,0.14294710027783067,0.11975256601969402,0.13253549211492965,400,10,30,entropy,"{'n_estimators': np.int64(400), 'min_samples_split': 10, 'max_depth': np.int64(30), 'criterion': 'entropy'}",0.8025210084033614,0.8016877637130801,0.8227848101265823,0.8089978607476747,0.00975477845505792,1
0.42206160227457684,0.046981725173546145,0.03072945276896159,0.010173265588595472,400,2,10,entropy,"{'n_estimators': np.int64(400), 'min_samples_split': 2, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7773109243697479,0.7890295358649789,0.8312236286919831,0.7991880296422367,0.02315226653700995,11
0.4739518165588379,0.21343852582275694,0.030682722727457683,0.0015851739989156681,200,2,10,entropy,"{'n_estimators': np.int64(200), 'min_samples_split': 2, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7815126050420168,0.7932489451476793,0.8312236286919831,0.8019950596272264,0.021215833033356384,8
0.2507220109303792,0.04753313152132504,0.019349177678426106,0.004673011904394329,200,2,30,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 2, 'max_depth': np.int64(30), 'criterion': 'gini'}",0.7563025210084033,0.7848101265822784,0.810126582278481,0.7837464099563877,0.021986450565388616,20
1.3670165538787842,0.07842020746172283,0.0698851744333903,0.0035376952145702184,500,2,50,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 2, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7647058823529411,0.7805907172995781,0.8143459915611815,0.7865475304045669,0.020698596205658202,18
0.45659319559733075,0.22104263283122524,0.035738865534464516,0.020046740764252897,200,5,50,entropy,"{'n_estimators': np.int64(200), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'entropy'}",0.7689075630252101,0.8016877637130801,0.8227848101265823,0.7977933789549575,0.022167004207286758,12
1.1776762803395588,0.32055827054372843,0.060256004333496094,0.011163457475876428,400,5,50,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7605042016806722,0.7848101265822784,0.8312236286919831,0.792179318984978,0.029337553711958026,14
0.7217313448588053,0.12845188829658286,0.05306013425191244,0.011299881862855517,300,5,10,entropy,"{'n_estimators': np.int64(300), 'min_samples_split': 5, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7941176470588235,0.7890295358649789,0.8270042194092827,0.803383800777695,0.016830831849690257,6
0.21597806612650552,0.013921265739488254,0.015405893325805664,0.0006674114386107002,100,5,30,entropy,"{'n_estimators': np.int64(100), 'min_samples_split': 5, 'max_depth': np.int64(30), 'criterion': 'entropy'}",0.773109243697479,0.7974683544303798,0.8143459915611815,0.7949745298963468,0.016926935422545752,13
0.5883084932963053,0.09344058476297151,0.039783636728922524,0.004388760981033942,300,10,10,gini,"{'n_estimators': np.int64(300), 'min_samples_split': 10, 'max_depth': np.int64(10), 'criterion': 'gini'}",0.8067226890756303,0.7974683544303798,0.8185654008438819,0.8075854814499639,0.008634413697689476,3
0.44577757517496747,0.07831034197865708,0.02769891421000163,0.0037485485291439986,200,5,30,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 5, 'max_depth': np.int64(30), 'criterion': 'gini'}",0.7605042016806722,0.7890295358649789,0.8185654008438819,0.7893663794631776,0.023704581973037882,16
0.9819557666778564,0.030950397269819362,0.07989088694254558,0.016213564092460893,500,5,10,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 5, 'max_depth': np.int64(10), 'criterion': 'gini'}",0.7899159663865546,0.7848101265822784,0.8270042194092827,0.8005767707927053,0.018802924068933427,9
1.254619836807251,0.16964367071512934,0.062153259913126625,0.0030151178716213084,500,2,20,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 2, 'max_depth': np.int64(20), 'criterion': 'gini'}",0.7647058823529411,0.7805907172995781,0.8143459915611815,0.7865475304045669,0.020698596205658202,18
0.4769716262817383,0.12473666572704885,0.027306477228800457,0.0012858909050143348,200,10,40,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 10, 'max_depth': np.int64(40), 'criterion': 'gini'}",0.7983193277310925,0.8016877637130801,0.810126582278481,0.8033778912408845,0.004966233534708058,7
0.9811791578928629,0.021121532599641262,0.0595707893371582,0.0025273591212960824,500,10,20,entropy,"{'n_estimators': np.int64(500), 'min_samples_split': 10, 'max_depth': np.int64(20), 'criterion': 'entropy'}",0.8025210084033614,0.8016877637130801,0.8227848101265823,0.8089978607476747,0.00975477845505792,1
0.8967565695444742,0.019631020263593726,0.04712327321370443,0.011624434868300134,500,5,50,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7689075630252101,0.7848101265822784,0.8227848101265823,0.7921674999113569,0.022602177557824774,15
0.21524882316589355,0.02015487074060554,0.026727914810180664,0.014172565105998102,100,10,40,gini,"{'n_estimators': np.int64(100), 'min_samples_split': 10, 'max_depth': np.int64(40), 'criterion': 'gini'}",0.7983193277310925,0.7890295358649789,0.8143459915611815,0.8005649517190844,0.010456667811370564,10
0.4564855893452962,0.08824166077800502,0.02122076352437337,0.0022118441856729164,300,10,40,entropy,"{'n_estimators': np.int64(300), 'min_samples_split': 10, 'max_depth': np.int64(40), 'criterion': 'entropy'}",0.7983193277310925,0.7974683544303798,0.8227848101265823,0.8061908307626848,0.011738857191303383,4
